f_name,mean
Grooming,0.09247121916892424
MRS_1,0.08514792828112618
Toilet_use,0.06168318237170058
discharged_mrs,0.05970419438201639
Stairs,0.05826794480074944
Bathing,0.050334904237628986
Dressing,0.05030773443566515
Transfers,0.04733450437141393
Mobility,0.046772235740959664
Feeding,0.033487892189714666
Bladder_control,0.01537323474531345
Bowel_control,0.013055701666945344
TRMNG_FL,0.011202453595440781
NIHS_6aL_out,0.010316649009712858
NIHS_6bR_out,0.009965522851108388
NIHS_5bR_out,0.008685509219738388
NIHS_5aL_out,0.008677116821335663
NIHS_10_out,0.007600643928661693
OFFDT_ID_1.0,0.007074830553923319
TRMRE_FL,0.007019360415527351
NIHS_6aL_in,0.005777386473208871
NIHS_6bR_in,0.005755123292849901
NIHS_5aL_in,0.005431139769681048
NIHS_1b_out,0.00530658084902942
onset_age,0.00492568311123727
NIHS_4_out,0.004403684684235582
NIHS_5bR_in,0.004186638011879489
NIHS_10_in,0.0041606962879075825
TRMFO_FL,0.00399458544166132
NIHS_1b_in,0.003785472484235675
